date published,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Under 18,Under 25,Under 30,Under 40,Under 45,Under 50,Under 55,Under 60,Under 65,Under 70,Under 80
2020-12-31,,,,,,,,,,,,,0.1807585711759773,,,,,,,,,,,0.006135131213573384
2021-01-07,,,,,,,,,,,,,0.22569358875244155,,,,,,,,,,,0.010275414172549272
2021-01-14,,,,,,,,,,,,,0.35728700320508955,,,,,,,,,,,0.022533995594713037
2021-01-21,,,,,,,,,,,,,0.5810924878064249,,,,,,,,,,,0.04390720891111501
2021-01-28,,,,,,,,,,,,,0.7794399313692408,,,,,,,,,,,0.08281673033283499
2021-02-04,,,,,,,,,,,0.3389836207177435,0.7634318986131265,0.8610416696107258,,,,,,,,,,0.07968149757238263,
2021-02-11,,,,,,,,,,,0.7131254709728228,0.8837309424557771,0.8923511791000175,,,,,,,,,,0.10606020482624227,
2021-02-18,,,,,,,,,,,0.8889006740413992,0.9181734665740211,0.9133043787265327,,,,,,,,,,0.15035027544155605,
2021-02-25,,,,,,,,,,0.7290112406753056,0.9094962679194977,0.9272364114167387,0.9220803750564829,,,,,,,,,0.15876435640090777,,
2021-03-04,,,,,,,,,,0.8263306495008431,0.9188706634971539,,,,,,,,,,,0.14847343948670194,,
2021-03-11,,,,,,,,,0.6282536291667551,0.8630998617044503,0.924945345352846,,,,,,,,,,0.14837188076968846,,,
2021-03-18,,,,,,,,0.4914501523984257,0.7573933260505189,0.8822699137760447,0.9282132012695277,,,,,,,,,0.14325628513247635,,,,
2021-03-25,,,,,,,0.604915741345837,0.7237288770156215,0.8373285761421674,0.8962712134077903,0.9310321373443937,,,,,,,,0.1389741972421248,,,,,
2021-04-01,,,,,,,0.7767733012095445,0.8233863234500711,0.8683131108551042,0.904234052958172,0.9336355520877876,,,,,,,,0.16248363332091406,,,,,
2021-04-08,,,,,,,0.8087601110857976,0.8451314218178079,0.8754587515456197,0.9069483216073173,0.934887352095603,,,,,,,,0.17270067618662946,,,,,
2021-04-15,,,,,,,0.8194841725801306,0.8523924553471296,0.879362301680582,0.9089780455204873,0.9363798757380117,,,,,,,,0.17897191497286996,,,,,
2021-04-22,,,,,,0.5547805707946565,0.8240155011982021,0.8554029391611395,0.8812743547708511,0.9103890804339331,0.9376567860764241,,,,,,,0.1512292526303598,,,,,,
2021-04-29,,,,,,0.6546295884002494,0.8276061791190308,0.8578859475294334,0.8828989094508554,0.9119247405981079,0.9389741053430045,0.9501702874183566,0.9486527846575334,,,,,0.15672390529054991,,,,,,
2021-05-06,,,,,,0.6980825868235535,0.830254999335321,0.8597788054491595,0.8841668254837103,0.9132727626101205,0.9398395865893027,0.9507784327904337,0.9492631123051706,,,,,0.16799953138610352,,,,,,
2021-05-13,,,,,0.5629134870453031,0.727313567500571,0.832941300441651,0.8617349075018724,0.8856336152159776,0.9146264869897476,0.9404873960616797,0.9512942867409271,0.9497221401310904,,,,0.13312672901648862,,,,,,,
2021-05-20,,,,,0.6417137373143325,0.7527146831306596,0.8366785963821763,0.8644927142803447,0.8877623500251027,0.916005254405649,0.9411574582668814,0.9517954764969094,0.9502374297186486,,,,0.14984918457963975,,,,,,,
2021-05-27,,,,,0.6844942689162065,0.7702600317965822,0.8408514832839565,0.8680963112614909,0.8905130319256149,0.9173047123606076,0.9417743326516544,0.9523342058290644,0.9507379471231368,,,,0.17837607737734307,,,,,,,
2021-06-03,,,0.38289173745619715,0.568537692034064,0.7054306482834715,0.7807580580065603,0.8446010669828097,0.87335460274089,0.8958956085191875,0.9186056124589712,0.9423387776744347,0.9527732729418764,0.9511206155047864,,,0.09762931798612311,,,,,,,,
2021-06-10,,,0.46993980263304375,0.6018405200537666,0.7146368389919241,0.7863512131029157,0.8470563581876135,0.8758330057255447,0.897952129656989,0.9193578237128541,0.942717011289668,0.953045878385676,0.9514244681538316,,,0.10708922399802522,,,,,,,,
2021-06-17,,0.3507191622979591,0.5368876216139999,0.6297505184731378,0.7228454555601841,0.7914805191420016,0.8493485164470566,0.877562133588535,0.8990127328695466,0.9200172703744233,0.9430803691787057,0.953361745949329,0.9517240618949458,,0.07556513440734927,,,,,,,,,
2021-06-24,,0.4542668011154538,0.5737674002454988,0.6475799965837757,0.7297164418797719,0.7960157190787098,0.8514047414168906,0.8790593186181883,0.8999174829457023,0.9205674293766448,0.9434236426034095,0.9536369677943598,0.9519593832107012,,0.10064657776140079,,,,,,,,,
2021-07-01,,0.5235493936460808,0.5943758895751766,0.6601560052140995,0.7358991086708465,0.8002943122910311,0.8534718386519464,0.8805223771438894,0.9008480055200085,0.9211250950132284,0.9437357003098165,0.9538921510842486,0.952192276914833,,0.1365214456442575,,,,,,,,,
2021-07-08,,0.5556697007635999,0.6084685119786399,0.6695194746108308,0.7407860687267023,0.8036802399834418,0.8552551632428163,0.8817461764417923,0.9016000906767331,0.9215927919424867,0.9439841514233887,0.9540971148365748,0.9523800846841458,,0.1612296221691744,,,,,,,,,
2021-07-15,0.5593851474149156,0.5750112007445989,0.6190298598662125,0.6768462579135007,0.7448649204671002,0.806555344523587,0.8567962302687302,0.8827575767314958,0.902294510988487,0.9220468269870538,0.9442190542245694,0.9542916185018389,0.952550023729641,0.015404978885861264,,,,,,,,,,
2021-07-22,0.5836073565205175,0.588714535262185,0.6276172980851265,0.6828850834602216,0.7483263354341174,0.8088927385737001,0.858111310925559,0.8836795552111611,0.9029012584351209,0.9224268997956454,0.9444272826971627,0.954451588984836,0.9527064887686874,0.016636026624964058,,,,,,,,,,
2021-07-29,0.6013524795776614,0.5987820737319839,0.6345696086831613,0.6877934912122435,0.7514689595505999,0.8112358691166571,0.8595769196189863,0.8848574793597817,0.903854046145606,0.9233507712814366,0.9452151569959117,0.9551655032541827,0.9533855677212314,0.01778565548790666,,,,,,,,,,
2021-08-05,0.614032980094398,0.6064027888005497,0.6399873577430881,0.6916242437905954,0.7537927554743067,0.8128589993031456,0.8605720603387835,0.8855486702681388,0.9043119470520504,0.9236844208953375,0.9453883338682021,0.9552836221186739,0.9534907567245899,0.019121834114695282,,,,,,,,,,
2021-08-12,0.6239967379064137,0.6131647802993593,0.6445068947299014,0.6948903632836744,0.7557591034230793,0.8142079655522086,0.8613678093614638,0.886121777424686,0.9046954012778687,0.9239228468531077,0.9454881498781372,0.9553633605132745,0.9535848768279743,0.021064127950652815,,,,,,,,,,
2021-08-19,0.6316678228884796,0.6189048686263757,0.6485435080032567,0.6977490937109613,0.7574913106169474,0.8154322860292457,0.8620760751676926,0.8866347813785145,0.9050341903228462,0.9241191473926168,0.9455577863064587,0.95541758380674,0.9536309196519828,0.02730820100425955,,,,,,,,,,
